,rownames.result_mat..ind...1..,colnames.result_mat..ind...2..,result_mat.lower.tri.result_mat..
1,col61_day10_14apr2021_W.png,col61_day10_14apr2021_E.png,0.137527722
2,col61_day100_13July2021_E.png,col61_day10_14apr2021_E.png,2.33E-198
3,col61_day100_13July2021_W.png,col61_day10_14apr2021_E.png,1.08E-176
4,col61_day110_23July2021_E.png,col61_day10_14apr2021_E.png,4.55E-198
5,col61_day110_23July2021_W.png,col61_day10_14apr2021_E.png,2.20E-191
6,col61_day20_24apr2021_E.png,col61_day10_14apr2021_E.png,1.41E-25
7,col61_day20_24apr2021_W.png,col61_day10_14apr2021_E.png,2.59E-20
8,col61_day32_6may2021_E.png,col61_day10_14apr2021_E.png,3.15E-70
9,col61_day32_6may2021_W.png,col61_day10_14apr2021_E.png,4.87E-69
10,col61_day40_14may2021_E.png,col61_day10_14apr2021_E.png,1.66E-155
11,col61_day40_14may2021_W.png,col61_day10_14apr2021_E.png,7.05E-151
12,col61_day46_20may2021_E.png,col61_day10_14apr2021_E.png,1.91E-97
13,col61_day46_20may2021_W.png,col61_day10_14apr2021_E.png,2.56E-170
14,col61_day50_24may2021_E.png,col61_day10_14apr2021_E.png,8.26E-101
15,col61_day50_24may2021_W.png,col61_day10_14apr2021_E.png,1.34E-103
16,col61_day60_03June2021_E.png,col61_day10_14apr2021_E.png,5.36E-184
17,col61_day60_03June2021_W.png,col61_day10_14apr2021_E.png,4.60E-199
18,col61_day71_14June2021_E.png,col61_day10_14apr2021_E.png,1.41E-109
19,col61_day71_14June2021_W.png,col61_day10_14apr2021_E.png,1.73E-81
20,col61_day81_24June2021_E.png,col61_day10_14apr2021_E.png,1.57E-114
21,col61_day81_24June2021_W.png,col61_day10_14apr2021_E.png,5.58E-125
22,col61_day89_02July2021_E.png,col61_day10_14apr2021_E.png,2.18E-134
23,col61_day89_02July2021_W.png,col61_day10_14apr2021_E.png,3.28E-125
24,col62_day120_02August2021_E.png,col61_day10_14apr2021_E.png,0
25,col62_day120_02August2021_W.png,col61_day10_14apr2021_E.png,0
26,col62_day129_11August2021_E.png,col61_day10_14apr2021_E.png,2.04E-172
27,col62_day129_11August2021_W.png,col61_day10_14apr2021_E.png,3.10E-171
28,col62_day141_23August2021_E.png,col61_day10_14apr2021_E.png,6.64E-151
29,col62_day141_23August2021_W.png,col61_day10_14apr2021_E.png,1.84E-159
30,col62_day151_02September2021_E.png,col61_day10_14apr2021_E.png,3.06E-186
31,col62_day151_02September2021_W.png,col61_day10_14apr2021_E.png,1.31E-126
32,col62_day159_10September2021_E.png,col61_day10_14apr2021_E.png,1.08E-163
33,col62_day159_10September2021_W.png,col61_day10_14apr2021_E.png,2.50E-140
34,col62_day170_21September2021_E.png,col61_day10_14apr2021_E.png,3.31E-144
35,col62_day170_21September2021_W.png,col61_day10_14apr2021_E.png,2.20E-154
36,col62_day180_01October2021_E.png,col61_day10_14apr2021_E.png,1.93E-274
37,col62_day180_01October2021_W.png,col61_day10_14apr2021_E.png,2.05E-226
38,col62_day190_11October2021_E.png,col61_day10_14apr2021_E.png,1.67E-213
39,col62_day190_11October2021_W.png,col61_day10_14apr2021_E.png,1.14E-208
40,col62_day200_21October2021_E.png,col61_day10_14apr2021_E.png,8.43E-301
41,col62_day200_21October2021_W.png,col61_day10_14apr2021_E.png,9.49E-291
42,col62_day208_29October2021_E.png,col61_day10_14apr2021_E.png,2.81617418129511e-322
43,col62_day208_29October2021_W.png,col61_day10_14apr2021_E.png,1.35503679192535e-316
44,col62_day221_11November2021_E.png,col61_day10_14apr2021_E.png,2.17E-285
45,col62_day221_11November2021_W.png,col61_day10_14apr2021_E.png,6.83E-304
46,col62_day229_19November2021_E.png,col61_day10_14apr2021_E.png,3.81E-262
47,col62_day229_19November2021_W.png,col61_day10_14apr2021_E.png,0
48,col62_day241_01December2021_E.png,col61_day10_14apr2021_E.png,3.75E-247
49,col62_day241_01December2021_W.png,col61_day10_14apr2021_E.png,5.58E-301
50,col76_day10_14apr2021_E.png,col61_day10_14apr2021_E.png,0
51,col76_day10_14apr2021_W.png,col61_day10_14apr2021_E.png,0
52,col76_day100_13July2021_E.png,col61_day10_14apr2021_E.png,5.51E-247
53,col76_day100_13July2021_W.png,col61_day10_14apr2021_E.png,3.55E-245
54,col76_day101_14July2021_E.png,col61_day10_14apr2021_E.png,2.39E-279
55,col76_day101_14July2021_W.png,col61_day10_14apr2021_E.png,2.10E-305
56,col76_day110_23July2021_E.png,col61_day10_14apr2021_E.png,1.24E-297
57,col76_day110_23July2021_W.png,col61_day10_14apr2021_E.png,1.7835769814869e-321
58,col76_day120_02August2021_E.png,col61_day10_14apr2021_E.png,0
59,col76_day120_02August2021_W.png,col61_day10_14apr2021_E.png,0
60,col76_day129_11August2021_E.png,col61_day10_14apr2021_E.png,0
61,col76_day129_11August2021_W.png,col61_day10_14apr2021_E.png,0
62,col76_day141_23August2021_E.png,col61_day10_14apr2021_E.png,6.68E-299
63,col76_day141_23August2021_W.png,col61_day10_14apr2021_E.png,0
64,col76_day20_24apr2021_E.png,col61_day10_14apr2021_E.png,6.94E-121
65,col76_day20_24apr2021_W.png,col61_day10_14apr2021_E.png,3.05E-152
66,col76_day32_6may2021_E.png,col61_day10_14apr2021_E.png,1.93E-159
67,col76_day32_6may2021_W.png,col61_day10_14apr2021_E.png,4.34E-183
68,col76_day40_14may2021_E.png,col61_day10_14apr2021_E.png,2.46E-208
69,col76_day40_14may2021_W.png,col61_day10_14apr2021_E.png,6.50E-235
70,col76_day50_24may2021_E.png,col61_day10_14apr2021_E.png,4.67E-204
71,col76_day50_24may2021_W.png,col61_day10_14apr2021_E.png,1.90E-211
72,col76_day60_03June2021_E.png,col61_day10_14apr2021_E.png,1.07E-175
